id,name,relationship,relative,relativename
Q1097337,Claudia Beamish,father,Q7851527,
Q1097337,Claudia Beamish,mother,Q75648943,
Q1108359,"Colin Boyd, Baron Boyd of Duncansby",father,Q75532126,
Q1108359,"Colin Boyd, Baron Boyd of Duncansby",mother,Q75532128,
Q1108359,"Colin Boyd, Baron Boyd of Duncansby",spouse,Q75532141,
Q1495635,John Finnie,child,Q24034376,
Q1507362,"George Foulkes, Baron Foulkes of Cumnock",father,Q75450423,
Q1507362,"George Foulkes, Baron Foulkes of Cumnock",mother,Q75450424,
Q1507362,"George Foulkes, Baron Foulkes of Cumnock",spouse,Q75450427,
Q16191157,Alex Rowley,child,Q30163628,
Q1680794,Jamie McGrigor,child,Q76062448,
Q1680794,Jamie McGrigor,child,Q76062450,
Q1680794,Jamie McGrigor,child,Q76062456,
Q1680794,Jamie McGrigor,child,Q76062457,
Q1680794,Jamie McGrigor,child,Q76280466,
Q1680794,Jamie McGrigor,child,Q76288785,
Q1680794,Jamie McGrigor,father,Q75908427,
Q1680794,Jamie McGrigor,mother,Q75908426,
Q1680794,Jamie McGrigor,spouse,Q76062447,
Q1680794,Jamie McGrigor,spouse,Q76062455,
Q1681420,Jamie Stone,child,Q76112453,
Q1681420,Jamie Stone,child,Q76112454,
Q1681420,Jamie Stone,child,Q76112455,
Q1681420,Jamie Stone,father,Q76112451,
Q1681420,Jamie Stone,spouse,Q75639056,
Q16849685,James Wolffe,spouse,Q18163522,
Q1685871,Jean Urquhart,spouse,Q1609787,
Q1726790,Siobhan McMahon,father,Q2439870,
Q24034308,Oliver Mundell,father,Q333520,
Q24034376,Ruth Maguire,father,Q1495635,
Q24034422,Alexander Burnett,child,Q75568027,
Q24034422,Alexander Burnett,child,Q75651349,
Q24034422,Alexander Burnett,child,Q75930772,
Q24034422,Alexander Burnett,father,Q75326124,
Q24034422,Alexander Burnett,mother,Q75393425,
Q24034422,Alexander Burnett,sibling,Q75244927,
Q24034422,Alexander Burnett,sibling,Q75244929,
Q24034422,Alexander Burnett,spouse,Q75568025,
Q24039768,Edward Mountain,child,Q76082478,
Q24039768,Edward Mountain,child,Q76082479,
Q24039768,Edward Mountain,child,Q76082481,
Q24039768,Edward Mountain,father,Q75951876,
Q24039768,Edward Mountain,mother,Q75951875,
Q24039768,Edward Mountain,spouse,Q76082477,
Q24045406,Alex Cole-Hamilton,father,Q18620305,
Q24045406,Alex Cole-Hamilton,mother,Q75659202,
Q24052673,Donald Cameron,child,Q76098710,
Q24052673,Donald Cameron,child,Q76098712,
Q24052673,Donald Cameron,child,Q76259879,
Q24052673,Donald Cameron,father,Q75331710,
Q24052673,Donald Cameron,mother,Q75331715,
Q24052673,Donald Cameron,sibling,Q75331718,
Q24052673,Donald Cameron,sibling,Q75331719,
Q24052673,Donald Cameron,sibling,Q75331721,
Q24052673,Donald Cameron,spouse,Q75521466,
Q2439870,Michael McMahon,child,Q1726790,
Q333158,Donald Dewar,spouse,Q76057348,
Q333520,David Mundell,child,Q24034308,
Q333795,"James Douglas-Hamilton, Baron Selkirk of Douglas",child,Q75390683,
Q333795,"James Douglas-Hamilton, Baron Selkirk of Douglas",child,Q75390685,
Q333795,"James Douglas-Hamilton, Baron Selkirk of Douglas",child,Q75390686,
Q333795,"James Douglas-Hamilton, Baron Selkirk of Douglas",child,Q75390688,
Q333795,"James Douglas-Hamilton, Baron Selkirk of Douglas",father,Q332941,
Q333795,"James Douglas-Hamilton, Baron Selkirk of Douglas",mother,Q5362691,
Q333795,"James Douglas-Hamilton, Baron Selkirk of Douglas",spouse,Q75390680,
Q333847,David Steel,father,Q5240041,
Q333847,David Steel,mother,Q76347545,
Q333847,David Steel,spouse,Q76347546,
Q333903,Margaret Ewing,spouse,Q559022,
Q334015,Winnie Ewing,child,Q559022,
Q334015,Winnie Ewing,child,Q564093,
Q334376,Margo MacDonald,spouse,Q6198115,
Q444675,Shona Robison,spouse,Q689514,
Q467112,Nicola Sturgeon,mother,Q107359230,
Q467112,Nicola Sturgeon,spouse,Q61819939,
Q478812,Anas Sarwar,father,Q334072,
Q505043,"Andrew Hardie, Baron Hardie",child,Q76063557,
Q505043,"Andrew Hardie, Baron Hardie",child,Q76063640,
Q505043,"Andrew Hardie, Baron Hardie",child,Q76073957,
Q505043,"Andrew Hardie, Baron Hardie",father,Q76086177,
Q505043,"Andrew Hardie, Baron Hardie",mother,Q76086178,
Q505043,"Andrew Hardie, Baron Hardie",spouse,Q76054701,
Q511689,Wendy Alexander,sibling,Q259106,
Q559022,Fergus Ewing,mother,Q334015,
Q559022,Fergus Ewing,sibling,Q564093,
Q559022,Fergus Ewing,spouse,Q333903,
Q559046,Alex Fergusson,child,Q75923921,
Q559046,Alex Fergusson,child,Q75923925,
Q559046,Alex Fergusson,child,Q75923927,
Q559046,Alex Fergusson,father,Q75923912,
Q559046,Alex Fergusson,mother,Q75923915,
Q559046,Alex Fergusson,spouse,Q75923919,
Q564093,Annabelle Ewing,mother,Q334015,
Q564093,Annabelle Ewing,sibling,Q559022,
